codepoint,char,category
U+1D2E3,𝋣,Mayan
U+1D2E4,𝋤,Mayan
U+1D2E5,𝋥,Mayan
U+1D2E6,𝋦,Mayan
U+1D2E7,𝋧,Mayan
U+1D2E8,𝋨,Mayan
U+1D2E9,𝋩,Mayan
U+1D2EA,𝋪,Mayan
U+1D2EB,𝋫,Mayan
U+1D2EC,𝋬,Mayan
U+1D2ED,𝋭,Mayan
U+1D2EE,𝋮,Mayan
U+1D2EF,𝋯,Mayan
U+1D2F0,𝋰,Mayan
U+1D2F1,𝋱,Mayan
U+1D2F2,𝋲,Mayan
U+1D2F3,𝋳,Mayan
U+1D360,𝍠,Counting Rod
U+1D361,𝍡,Counting Rod
U+1D362,𝍢,Counting Rod
U+1D363,𝍣,Counting Rod
U+1D364,𝍤,Counting Rod
U+1D365,𝍥,Counting Rod
U+1D366,𝍦,Counting Rod
U+1D367,𝍧,Counting Rod
U+1D368,𝍨,Counting Rod
U+1D369,𝍩,Counting Rod
U+1D36A,𝍪,Counting Rod
U+1D36B,𝍫,Counting Rod
U+1D36C,𝍬,Counting Rod
U+1D36D,𝍭,Counting Rod
U+1D36E,𝍮,Counting Rod
U+1D36F,𝍯,Counting Rod
U+1D370,𝍰,Counting Rod
U+1D371,𝍱,Counting Rod
U+1D372,𝍲,Other
U+1D373,𝍳,Other
U+1D374,𝍴,Other
U+1D375,𝍵,Other
U+1D376,𝍶,Other
U+1D377,𝍷,Other
U+1D378,𝍸,Other
U+1D7CE,𝟎,Mathematical Digit
U+1D7CF,𝟏,Mathematical Digit
U+1D7D0,𝟐,Mathematical Digit
U+1D7D1,𝟑,Mathematical Digit
U+1D7D2,𝟒,Mathematical Digit
U+1D7D3,𝟓,Mathematical Digit
U+1D7D4,𝟔,Mathematical Digit
U+1D7D5,𝟕,Mathematical Digit
U+1D7D6,𝟖,Mathematical Digit
U+1D7D7,𝟗,Mathematical Digit
U+1D7D8,𝟘,Mathematical Digit
U+1D7D9,𝟙,Mathematical Digit
U+1D7DA,𝟚,Mathematical Digit
U+1D7DB,𝟛,Mathematical Digit
U+1D7DC,𝟜,Mathematical Digit
U+1D7DD,𝟝,Mathematical Digit
U+1D7DE,𝟞,Mathematical Digit
U+1D7DF,𝟟,Mathematical Digit
U+1D7E0,𝟠,Mathematical Digit
U+1D7E1,𝟡,Mathematical Digit
U+1D7E2,𝟢,Mathematical Digit
U+1D7E3,𝟣,Mathematical Digit
U+1D7E4,𝟤,Mathematical Digit
U+1D7E5,𝟥,Mathematical Digit
U+1D7E6,𝟦,Mathematical Digit
U+1D7E7,𝟧,Mathematical Digit
U+1D7E8,𝟨,Mathematical Digit
U+1D7E9,𝟩,Mathematical Digit
U+1D7EA,𝟪,Mathematical Digit
U+1D7EB,𝟫,Mathematical Digit
U+1D7EC,𝟬,Mathematical Digit
U+1D7ED,𝟭,Mathematical Digit
U+1D7EE,𝟮,Mathematical Digit
U+1D7EF,𝟯,Mathematical Digit
U+1D7F0,𝟰,Mathematical Digit
U+1D7F1,𝟱,Mathematical Digit
U+1D7F2,𝟲,Mathematical Digit
U+1D7F3,𝟳,Mathematical Digit
U+1D7F4,𝟴,Mathematical Digit
U+1D7F5,𝟵,Mathematical Digit
U+1D7F6,𝟶,Mathematical Digit
U+1D7F7,𝟷,Mathematical Digit
U+1D7F8,𝟸,Mathematical Digit
U+1D7F9,𝟹,Mathematical Digit
U+1D7FA,𝟺,Mathematical Digit
U+1D7FB,𝟻,Mathematical Digit
U+1D7FC,𝟼,Mathematical Digit
U+1D7FD,𝟽,Mathematical Digit
U+1D7FE,𝟾,Mathematical Digit
U+1D7FF,𝟿,Mathematical Digit
U+1E140,𞅀,Nyiakeng Puachue Hmong Digit
U+1E141,𞅁,Nyiakeng Puachue Hmong Digit
U+1E142,𞅂,Nyiakeng Puachue Hmong Digit
U+1E143,𞅃,Nyiakeng Puachue Hmong Digit
U+1E144,𞅄,Nyiakeng Puachue Hmong Digit
U+1E145,𞅅,Nyiakeng Puachue Hmong Digit
U+1E146,𞅆,Nyiakeng Puachue Hmong Digit
U+1E147,𞅇,Nyiakeng Puachue Hmong Digit
U+1E148,𞅈,Nyiakeng Puachue Hmong Digit
U+1E149,𞅉,Nyiakeng Puachue Hmong Digit
U+1E2F0,𞋰,Wancho Digit
U+1E2F1,𞋱,Wancho Digit
U+1E2F2,𞋲,Wancho Digit
U+1E2F3,𞋳,Wancho Digit
U+1E2F4,𞋴,Wancho Digit
U+1E2F5,𞋵,Wancho Digit
U+1E2F6,𞋶,Wancho Digit
U+1E2F7,𞋷,Wancho Digit
U+1E2F8,𞋸,Wancho Digit
U+1E2F9,𞋹,Wancho Digit
U+1E4F0,𞓰,Other
U+1E4F1,𞓱,Other
U+1E4F2,𞓲,Other
U+1E4F3,𞓳,Other
U+1E4F4,𞓴,Other
U+1E4F5,𞓵,Other
U+1E4F6,𞓶,Other
U+1E4F7,𞓷,Other
U+1E4F8,𞓸,Other
U+1E4F9,𞓹,Other
U+1E5F1,𞗱,Ol Onal
U+1E5F2,𞗲,Ol Onal
U+1E5F3,𞗳,Ol Onal
U+1E5F4,𞗴,Ol Onal
U+1E5F5,𞗵,Ol Onal
U+1E5F6,𞗶,Ol Onal
U+1E5F7,𞗷,Ol Onal
U+1E5F8,𞗸,Ol Onal
U+1E5F9,𞗹,Ol Onal
U+1E5FA,𞗺,Ol Onal
U+1E8C7,𞣇,Other
U+1E8C8,𞣈,Other
U+1E8C9,𞣉,Other
U+1E8CA,𞣊,Other
U+1E8CB,𞣋,Other
U+1E8CC,𞣌,Other
U+1E8CD,𞣍,Other
U+1E8CE,𞣎,Other
U+1E8CF,𞣏,Other
U+1E950,𞥐,Adlam Digit
U+1E951,𞥑,Adlam Digit
U+1E952,𞥒,Adlam Digit
U+1E953,𞥓,Adlam Digit
U+1E954,𞥔,Adlam Digit
U+1E955,𞥕,Adlam Digit
U+1E956,𞥖,Adlam Digit
U+1E957,𞥗,Adlam Digit
U+1E958,𞥘,Adlam Digit
U+1E959,𞥙,Adlam Digit
U+1EC71,𞱱,Indic Siyaq
U+1EC72,𞱲,Indic Siyaq
U+1EC73,𞱳,Indic Siyaq
U+1EC74,𞱴,Indic Siyaq
U+1EC75,𞱵,Indic Siyaq
U+1EC76,𞱶,Indic Siyaq
U+1EC77,𞱷,Indic Siyaq
U+1EC78,𞱸,Indic Siyaq
U+1EC79,𞱹,Indic Siyaq
U+1EC7A,𞱺,Indic Siyaq
U+1EC7B,𞱻,Indic Siyaq
U+1EC7C,𞱼,Indic Siyaq
U+1EC7D,𞱽,Indic Siyaq
U+1EC7E,𞱾,Indic Siyaq
U+1EC7F,𞱿,Indic Siyaq
U+1EC80,𞲀,Indic Siyaq
U+1EC81,𞲁,Indic Siyaq
U+1EC82,𞲂,Indic Siyaq
U+1EC83,𞲃,Indic Siyaq
U+1EC84,𞲄,Indic Siyaq
U+1EC85,𞲅,Indic Siyaq
U+1EC86,𞲆,Indic Siyaq
U+1EC87,𞲇,Indic Siyaq
U+1EC88,𞲈,Indic Siyaq
U+1EC89,𞲉,Indic Siyaq
U+1EC8A,𞲊,Indic Siyaq
U+1EC8B,𞲋,Indic Siyaq
U+1EC8C,𞲌,Indic Siyaq
U+1EC8D,𞲍,Indic Siyaq
U+1EC8E,𞲎,Indic Siyaq
U+1EC8F,𞲏,Indic Siyaq
U+1EC90,𞲐,Indic Siyaq
U+1EC91,𞲑,Indic Siyaq
U+1EC92,𞲒,Indic Siyaq
U+1EC93,𞲓,Indic Siyaq
U+1EC94,𞲔,Indic Siyaq
U+1EC95,𞲕,Indic Siyaq
U+1EC96,𞲖,Indic Siyaq
U+1EC97,𞲗,Indic Siyaq
U+1EC98,𞲘,Indic Siyaq
U+1EC99,𞲙,Indic Siyaq
U+1EC9A,𞲚,Indic Siyaq
U+1EC9B,𞲛,Indic Siyaq
U+1EC9C,𞲜,Indic Siyaq
U+1EC9D,𞲝,Indic Siyaq
U+1EC9E,𞲞,Indic Siyaq
U+1EC9F,𞲟,Indic Siyaq
U+1ECA0,𞲠,Indic Siyaq
U+1ECA1,𞲡,Indic Siyaq
U+1ECA2,𞲢,Indic Siyaq
U+1ECA3,𞲣,Indic Siyaq
U+1ECA4,𞲤,Indic Siyaq
U+1ECA5,𞲥,Indic Siyaq
U+1ECA6,𞲦,Indic Siyaq
U+1ECA7,𞲧,Indic Siyaq
U+1ECA8,𞲨,Indic Siyaq
U+1ECA9,𞲩,Indic Siyaq
U+1ECAA,𞲪,Indic Siyaq
U+1ECAB,𞲫,Indic Siyaq
U+1ECAD,𞲭,Other
U+1ECAE,𞲮,Other
U+1ECAF,𞲯,Other
U+1ECB1,𞲱,Other
U+1ECB2,𞲲,Other
U+1ECB3,𞲳,Other
U+1ECB4,𞲴,Other
U+1ED01,𞴁,Ottoman Siyaq
U+1ED02,𞴂,Ottoman Siyaq
U+1ED03,𞴃,Ottoman Siyaq
U+1ED04,𞴄,Ottoman Siyaq
U+1ED05,𞴅,Ottoman Siyaq
U+1ED06,𞴆,Ottoman Siyaq
U+1ED07,𞴇,Ottoman Siyaq
U+1ED08,𞴈,Ottoman Siyaq
U+1ED09,𞴉,Ottoman Siyaq
U+1ED0A,𞴊,Ottoman Siyaq
U+1ED0B,𞴋,Ottoman Siyaq
U+1ED0C,𞴌,Ottoman Siyaq
U+1ED0D,𞴍,Ottoman Siyaq
U+1ED0E,𞴎,Ottoman Siyaq
U+1ED0F,𞴏,Ottoman Siyaq
U+1ED10,𞴐,Ottoman Siyaq
U+1ED11,𞴑,Ottoman Siyaq
U+1ED12,𞴒,Ottoman Siyaq
U+1ED13,𞴓,Ottoman Siyaq
U+1ED14,𞴔,Ottoman Siyaq
U+1ED15,𞴕,Ottoman Siyaq
U+1ED16,𞴖,Ottoman Siyaq
U+1ED17,𞴗,Ottoman Siyaq
U+1ED18,𞴘,Ottoman Siyaq
U+1ED19,𞴙,Ottoman Siyaq
U+1ED1A,𞴚,Ottoman Siyaq
U+1ED1B,𞴛,Ottoman Siyaq
U+1ED1C,𞴜,Ottoman Siyaq
U+1ED1D,𞴝,Ottoman Siyaq
U+1ED1E,𞴞,Ottoman Siyaq
U+1ED1F,𞴟,Ottoman Siyaq
U+1ED20,𞴠,Ottoman Siyaq
U+1ED21,𞴡,Ottoman Siyaq
U+1ED22,𞴢,Ottoman Siyaq
U+1ED23,𞴣,Ottoman Siyaq
U+1ED24,𞴤,Ottoman Siyaq
U+1ED25,𞴥,Ottoman Siyaq
U+1ED26,𞴦,Ottoman Siyaq
U+1ED27,𞴧,Ottoman Siyaq
U+1ED28,𞴨,Ottoman Siyaq
U+1ED29,𞴩,Ottoman Siyaq
U+1ED2A,𞴪,Ottoman Siyaq
U+1ED2B,𞴫,Ottoman Siyaq
U+1ED2C,𞴬,Ottoman Siyaq
U+1ED2D,𞴭,Ottoman Siyaq
U+1ED2F,𞴯,Other
U+1ED30,𞴰,Other
U+1ED31,𞴱,Other
U+1ED32,𞴲,Other
U+1ED33,𞴳,Other
U+1ED34,𞴴,Other
U+1ED35,𞴵,Other
U+1ED36,𞴶,Other
U+1ED37,𞴷,Other
U+1ED38,𞴸,Other
U+1ED39,𞴹,Other
U+1ED3A,𞴺,Other
U+1ED3B,𞴻,Other
U+1ED3C,𞴼,Other
U+1ED3D,𞴽,Ottoman Siyaq
U+1F100,🄀,Enclosed
U+1F101,🄁,Enclosed
U+1F102,🄂,Enclosed
U+1F103,🄃,Enclosed
U+1F104,🄄,Enclosed
U+1F105,🄅,Enclosed
U+1F106,🄆,Enclosed
U+1F107,🄇,Enclosed
U+1F108,🄈,Enclosed
U+1F109,🄉,Enclosed
U+1F10A,🄊,Enclosed
U+1F10B,🄋,Enclosed
U+1F10C,🄌,Enclosed
U+1FBF0,🯰,Segmented Digit
U+1FBF1,🯱,Segmented Digit
U+1FBF2,🯲,Segmented Digit
U+1FBF3,🯳,Segmented Digit
U+1FBF4,🯴,Segmented Digit
U+1FBF5,🯵,Segmented Digit
U+1FBF6,🯶,Segmented Digit
U+1FBF7,🯷,Segmented Digit
U+1FBF8,🯸,Segmented Digit
U+1FBF9,🯹,Segmented Digit
U+2F890,廾,Other
